dataset,vocab,vocab_size,max_train_size,max_valid_size,max_test_size,truncation needed
NL-25,default,,22,22,22,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/descending_size_vocab.pkl,1,18,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/descending_size_vocab.pkl,2,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/descending_size_vocab.pkl,4,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/ascending_size_vocab.pkl,1,18,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/ascending_size_vocab.pkl,2,17,15,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/ascending_size_vocab.pkl,4,17,15,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/default_vocab.pkl,1,18,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/default_vocab.pkl,2,17,14,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/default_vocab.pkl,4,17,14,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/descending_size_vocab.pkl,1,18,16,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/descending_size_vocab.pkl,2,17,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/descending_size_vocab.pkl,4,17,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/ascending_size_vocab.pkl,1,19,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/ascending_size_vocab.pkl,2,17,14,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/ascending_size_vocab.pkl,4,17,14,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/default_vocab.pkl,1,19,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/default_vocab.pkl,2,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/default_vocab.pkl,4,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/descending_size_vocab.pkl,1,21,15,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/descending_size_vocab.pkl,2,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/descending_size_vocab.pkl,4,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/ascending_size_vocab.pkl,1,21,15,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/ascending_size_vocab.pkl,2,17,15,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/ascending_size_vocab.pkl,4,17,15,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/default_vocab.pkl,1,21,15,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/default_vocab.pkl,2,17,14,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/default_vocab.pkl,4,17,14,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/descending_size_vocab.pkl,1,23,22,22,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/descending_size_vocab.pkl,2,21,17,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/descending_size_vocab.pkl,4,20,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/ascending_size_vocab.pkl,1,23,22,22,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/ascending_size_vocab.pkl,2,21,17,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/ascending_size_vocab.pkl,4,20,15,15,False
NL-50,default,,22,22,22,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/descending_size_vocab.pkl,1,18,18,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/descending_size_vocab.pkl,2,17,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/descending_size_vocab.pkl,4,17,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/ascending_size_vocab.pkl,1,18,18,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/ascending_size_vocab.pkl,2,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/ascending_size_vocab.pkl,4,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/default_vocab.pkl,1,18,18,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/default_vocab.pkl,2,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/default_vocab.pkl,4,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/descending_size_vocab.pkl,1,18,18,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/descending_size_vocab.pkl,2,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/descending_size_vocab.pkl,4,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/ascending_size_vocab.pkl,1,18,17,15,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/ascending_size_vocab.pkl,2,17,16,15,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/ascending_size_vocab.pkl,4,17,16,15,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/default_vocab.pkl,1,17,17,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/default_vocab.pkl,2,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/default_vocab.pkl,4,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/descending_size_vocab.pkl,1,21,19,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/descending_size_vocab.pkl,2,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/descending_size_vocab.pkl,4,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/ascending_size_vocab.pkl,1,21,19,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/ascending_size_vocab.pkl,2,17,16,15,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/ascending_size_vocab.pkl,4,17,16,15,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/default_vocab.pkl,1,21,19,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/default_vocab.pkl,2,17,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/default_vocab.pkl,4,17,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/descending_size_vocab.pkl,1,23,22,22,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/descending_size_vocab.pkl,2,21,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/descending_size_vocab.pkl,4,20,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/ascending_size_vocab.pkl,1,23,22,22,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/ascending_size_vocab.pkl,2,21,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/ascending_size_vocab.pkl,4,20,16,15,False
nell_v1_ind,default,,12,12,12,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/descending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/descending_size_vocab.pkl,2,17,10,10,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/descending_size_vocab.pkl,4,9,9,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,2,16,10,10,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/default_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/default_vocab.pkl,2,16,10,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/default_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/descending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/descending_size_vocab.pkl,2,17,11,11,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/descending_size_vocab.pkl,4,9,9,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/ascending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/ascending_size_vocab.pkl,2,17,17,17,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/ascending_size_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/default_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/default_vocab.pkl,2,17,16,16,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/default_vocab.pkl,4,9,9,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/descending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/descending_size_vocab.pkl,2,20,10,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/descending_size_vocab.pkl,4,9,9,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/ascending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/ascending_size_vocab.pkl,2,20,10,11,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/ascending_size_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/default_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/default_vocab.pkl,2,20,10,10,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/default_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-finetuned/VandR/descending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-finetuned/VandR/descending_size_vocab.pkl,2,26,26,26,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-finetuned/VandR/descending_size_vocab.pkl,4,22,21,21,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-finetuned/VandR/ascending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-finetuned/VandR/ascending_size_vocab.pkl,2,26,26,26,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-finetuned/VandR/ascending_size_vocab.pkl,4,22,21,21,False
nell_v2,default,,23,17,23,False
nell_v3,default,,22,17,17,False
nell_v3_ind,default,,23,23,22,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/descending_size_vocab.pkl,1,19,18,14,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/descending_size_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/descending_size_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,1,19,18,13,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/default_vocab.pkl,1,19,18,14,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/default_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/randomWalks/default_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/descending_size_vocab.pkl,1,19,18,14,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/descending_size_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/descending_size_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/ascending_size_vocab.pkl,1,18,18,17,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/ascending_size_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/ascending_size_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/default_vocab.pkl,1,18,18,15,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/default_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/VandR/default_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/descending_size_vocab.pkl,1,20,17,14,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/descending_size_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/descending_size_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/ascending_size_vocab.pkl,1,19,17,14,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/ascending_size_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/ascending_size_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/default_vocab.pkl,1,20,17,14,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/default_vocab.pkl,2,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-custom/E/default_vocab.pkl,4,17,17,11,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-finetuned/VandR/descending_size_vocab.pkl,1,23,22,23,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-finetuned/VandR/descending_size_vocab.pkl,2,21,21,19,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-finetuned/VandR/descending_size_vocab.pkl,4,20,20,17,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-finetuned/VandR/ascending_size_vocab.pkl,1,23,22,23,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-finetuned/VandR/ascending_size_vocab.pkl,2,21,21,19,False
nell_v3_ind,Vocabularies/NELL-995_all/nell_v3_ind/KG-finetuned/VandR/ascending_size_vocab.pkl,4,20,20,17,False
NELL-995-v1,default,,21,12,12,False
NL-0,default,,23,19,22,False
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/descending_size_vocab.pkl,1,22,22,20,False
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/descending_size_vocab.pkl,2,19,20,19,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/descending_size_vocab.pkl,4,17,19,18,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/ascending_size_vocab.pkl,1,23,22,20,False
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/ascending_size_vocab.pkl,2,18,20,18,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/ascending_size_vocab.pkl,4,17,20,18,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/default_vocab.pkl,1,22,22,20,False
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/default_vocab.pkl,2,18,20,18,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/randomWalks/default_vocab.pkl,4,17,19,17,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/VandR/descending_size_vocab.pkl,1,20,21,20,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/VandR/descending_size_vocab.pkl,2,19,21,20,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/VandR/descending_size_vocab.pkl,4,17,19,19,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/VandR/ascending_size_vocab.pkl,1,20,21,20,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/VandR/ascending_size_vocab.pkl,2,17,19,18,True
NL-0,Vocabularies/NELL-995_all/NL-0/KG-custom/VandR/ascending_size_vocab.pkl,4,17,19,18,True
